"slug","brand","product_name","score","priority","existing_english","selected_phase2","index_ready","official_source","official_link","concentration","sizes","notes_complete","release_year","family","scenes","seasons","editorial_guidance","verified_at","japan_purchasable","safe_link","rakuten_link","moshimo_link","official_price","rakuten_price","missing_required"
"diptyque-4","Diptyque","ドソン","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"diptyque-5","Diptyque","フルール ドゥ ポー","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"jo-malone-5","Jo Malone","ミルラ & トンカ","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"maison-margiela-3","Maison Margiela","レプリカ セーリング デイ","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"maison-margiela-4","Maison Margiela","レプリカ ネバーエンディング サマー","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"prada-3","Prada","ルナロッサ カーボン","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"prada-4","Prada","インフュージョン ディリス","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"prada-5","Prada","ルナ ロッサ オーシャン","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"prada-6","Prada","ルナ ロッサ ブラック","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"tom-ford-4","Tom Ford","ネロリ ポルトフィーノ","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"tom-ford-5","Tom Ford","ノワール エクストリーム","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"tom-ford-6","Tom Ford","グレー ヴェチバー","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"tom-ford-7","Tom Ford","タバコ バニラ","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"giorgio-armani-1","Giorgio Armani","ストロンガー ウィズ ユー","16","P3","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialLink"
"glossier-1","Glossier","ユー","16","P3","no","no","no","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","concentration"
"hermes-2","Hermès","オー ドランジュ ヴェルト","16","P3","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialLink"
"hugo-boss-2","Hugo Boss","ボス ボトルド ナイト","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"hugo-boss-3","Hugo Boss","ボス ボトルド インフィニット","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"loewe-1","Loewe","001 マン","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"loewe-2","Loewe","エセンシア","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"maison-francis-kurkdjian-2","Maison Francis Kurkdjian","アクア ユニヴェルサリス","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"maison-francis-kurkdjian-3","Maison Francis Kurkdjian","アミリス プールオム","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"maison-francis-kurkdjian-4","Maison Francis Kurkdjian","アクア ヴィタエ フォルテ","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"maison-francis-kurkdjian-5","Maison Francis Kurkdjian","アクア セレスティア","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"maison-francis-kurkdjian-6","Maison Francis Kurkdjian","アクア セレスティア コローニュ フォルテ","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"maison-francis-kurkdjian-7","Maison Francis Kurkdjian","バカラ ルージュ 540 エキストレ ドゥ パルファム","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"ralph-lauren-1","Ralph Lauren","サファリ フォーメン","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"ralph-lauren-2","Ralph Lauren","ポロ","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"ralph-lauren-3","Ralph Lauren","ポロ ブルー","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"ralph-lauren-4","Ralph Lauren","ポロ レッド","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"ralph-lauren-5","Ralph Lauren","ラルフズ クラブ","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"ralph-lauren-6","Ralph Lauren","ラルフズ クラブ パルファム","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"ysl-6","YSL","MYSLF オーデパルファム","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"ysl-7","YSL","MYSLF ルパルファム","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"ysl-8","YSL","MYSLF ラブソリュ","15","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"aramis-1","Aramis","アラミス","14","P3","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink | concentration"
"bvlgari-3","Bvlgari","アクア プールオム","14","P3","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink | concentration"
"loewe-4","Loewe","アグア ドロップ","14","P3","no","no","no","no","no","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink | releaseYear"
